Code,Name,county_seat,cadastral_area,Population,Density,Latitude,Longitude,directional_area,Adjacent
1,Ain ,Bourg-en-Bresse ,5762,631877,109.7,46.21,5.21,E,Suisse
2,Aisne ,Laon ,7369,538659,73.1,49.58,3.63,N,Inland
3,Allier ,Mills ,7340,341613,46.5,46.373999999999995,3.424,C,Inland
4,Alpes-de-Haute-Provence ,Digne-les-Bains ,6925,161799,23.4,44.093,6.232,SE,Inland
5,Hautes-Alpes ,Gap,5549,140916,25.4,44.57,6.08,SE,Italie
6,Alpes-Maritimes,Nice,4299,1082440,251.8,43.7,7.27,SE,I&O
7,ArdÃƒÆ’Ã‚Â¨che,Privas,5529,324209,58.6,44.735,4.5969999999999995,SE,Inland
8,Ardennes,Charleville-MÃƒÆ’Ã‚Â©ziÃƒÆ’Ã‚Â¨res,5229,277752,53.1,49.75,4.73,N,Belgique
9,AriÃƒÆ’Ã‚Â¨ge,Foix,4890,152499,31.2,42.967,1.604,S,E&A
10,Dawn,Troyes,6004,309056,51.5,48.3,4.08,N,Inland
11,Aude,Carcassonne,6139,366957,59.8,43.22,2.34,S,Ocean
12,Aveyron,Rodez,8735,279169,32.0,44.349,2.5759,S,Inland
13,Bouches-du-RhÃƒÆ’Ã‚Â´ne,Marseille,5088,2016622,396.4,43.31,5.37,S,Ocean
14,Calvados,Caen,5548,693579,125.0,49.19,-0.36,N,Ocean
15,Cantal,Aurillac,5726,146219,25.5,44.92,2.43,C,Inland
16,Charente,AngoulÃƒÆ’Ã‚Âªme,5956,353613,59.4,46.0,0.15,W,Inland
17,Charente-Maritime,La Rochelle,6864,639938,93.2,46.17,-1.18,W,Ocean
18,Dear,Bourges,7235,308992,42.7,47.08,2.39,C,Inland
19,CorrÃƒÆ’Ã‚Â¨ze,Tulle,5857,241871,41.3,45.26600000000001,1.7730000000000001,C,Inland
20,Corse,Ajaccio,8680,327283,37.5,40.035,9.016,S,Ocean
21,CÃƒÆ’Ã‚Â´te-d'Or,Dijon,8763,533147,60.8,47.33,5.03,E,Inland
22,CÃƒÆ’Ã‚Â´tes-d'Armor,Saint-Brieuc,6878,598357,87.0,48.52,-2.77,NW,Ocean
23,Hollow,GuÃƒÆ’Ã‚Â©ret,5565,120365,21.6,46.169,1.87,C,Inland
24,Dordogne,PÃƒÆ’Ã‚Â©rigueux,9060,415417,45.9,45.18,0.71,W,Inland
25,Doubs,BesanÃƒÆ’Ã‚Â§on,5233,536959,102.6,47.24,6.02,E,Suisse
26,DrÃƒÆ’Ã‚Â´me,Valencia,6530,504637,77.3,44.933,4.904,SE,Inland
27,Eure,Evreux,6040,601948,99.7,49.03,1.14,N,Inland
28,Eure-et-Loir,Chartres,5880,434035,73.8,48.46,1.48,N,Inland
29,Finistere,Quimper,6733,907796,134.8,47.99,-4.11,NW,Ocean
30,Gard,NÃƒÆ’Ã‚Â®mes,5853,738189,126.1,43.84,4.35,S,Ocean
31,Haute-Garonne,Toulouse,6309,1335103,211.6,43.62,1.45,SW,Espagne
32,Gers,Auch,6257,190932,30.5,43.65,0.56,SW,Inland
33,Gironde,Bordeaux,9976,1548478,155.2,44.84,-0.58,W,Ocean
34,HÃƒÆ’Ã‚Â©rault,Montpellier,6101,1120190,183.6,43.61,3.87,S,Ocean
35,Ille-et-Vilaine,Rennes,6775,1042884,153.9,48.11,-1.68,NW,Ocean
36,Indre,ChÃƒÆ’Ã‚Â¢teauroux,6791,224200,33.0,46.81,1.7,C,Inland
37,Indre-et-Loire,Tours,6127,604966,98.7,47.38,0.69,C,Inland
38,IsÃƒÆ’Ã‚Â¨re,Grenoble,7432,1251060,168.3,45.19,5.72,E,Inland
39,Jura,Lons-le-Saunier,4999,260587,52.1,46.676,5.555,E,Suisse
40,Landes,Mont-de-Marsan,9243,403234,43.6,43.9,-0.51,SW,Ocean
41,Loir-et-Cher,Blois,6343,333050,52.5,47.59,1.32,C,Inland
42,Loire,St. Stephen,4781,759411,158.9,45.44,4.387,C,Inland
43,Haute-Loire,Le Puy-en-Velay,4977,227034,45.6,45.043,3.887,C,Inland
44,Loire-Atlantique,Nantes,6809,1365227,200.5,47.23,-1.57,NW,Ocean
45,Loiret,Orleans,6775,673349,99.4,47.9,1.9,C,Inland
46,Lot,Cahors,5217,173400,33.2,44.44,1.44,C,Inland
47,Lot-et-Garonne,Agen,5361,333417,62.2,44.2,0.62,SW,Inland
